TransactionID,Date,StoreID,ProductID,Quantity,UnitPrice,CustomerID,PaymentMethod,ProductCategory
T0055,2023-10-31,S001,P008,5,1021,C235,Online,Printer
T0056,2023-09-28,S005,P016,1,1354,C269,Online,Smartwatch
T0057,2023-08-03,S003,P018,5,182,C222,Cash,Monitor
T0058,2023-09-09,S004,P001,4,498,C336,Online,Printer
T0059,2023-07-09,S005,P001,4,313,C176,Online,Printer
T0060,2023-10-23,S003,P012,3,160,C123,Cash,Monitor
T0061,2023-08-01,S004,P006,2,899,C173,Cash,Mouse
T0062,2023-07-27,S003,P009,2,1311,C188,Online,Monitor
T0063,2023-08-25,S005,P005,1,950,C203,Cash,Printer
T0064,2023-12-04,S002,P016,5,808,C194,Card,Smartwatch
T0065,2023-02-22,S005,P018,1,910,C366,Online,Monitor
T0066,2023-10-07,S001,P017,3,946,C353,Cash,Smartphone
T0067,2023-08-05,S003,P018,3,911,C158,Online,Monitor
T0068,2023-09-09,S002,P001,2,1246,C109,Online,Printer
T0069,2023-07-07,S003,P019,3,242,C113,Card,Camera
T0070,2023-02-10,S003,P008,5,564,C231,Card,Printer
T0071,2023-06-06,S004,P003,4,839,C322,Online,Monitor
T0072,2023-01-15,S001,P005,3,1017,C253,Card,Printer
T0073,2023-10-28,S003,P008,1,1482,C171,Cash,Printer
T0074,2023-03-06,S005,P019,5,133,C120,Online,Camera
T0075,2023-12-11,S005,P018,3,847,C181,Card,Monitor
T0076,2023-11-23,S004,P018,3,129,C328,Online,Monitor
T0077,2023-01-09,S001,P001,5,1282,C119,Online,Printer
T0078,2023-12-10,S001,P015,3,571,C265,Cash,Camera
T0079,2023-05-09,S005,P018,4,1272,C207,Cash,Monitor
T0080,2023-05-16,S002,P007,2,283,C314,Cash,Tablet
T0081,2023-03-04,S004,P016,5,293,C339,Card,Smartwatch
T0082,2023-05-19,S004,P016,1,1466,C247,Card,Smartwatch
T0083,2023-03-22,S005,P015,3,898,C281,Card,Camera
T0084,2023-06-12,S005,P006,2,442,C298,Cash,Mouse
T0085,2023-10-16,S002,P009,1,58,C387,Online,Monitor
T0086,2023-09-18,S002,P007,1,662,C153,Cash,Tablet
T0087,2023-08-19,S001,P014,4,856,C340,Card,Tablet
T0088,2023-02-10,S004,P011,2,764,C390,Card,Headphones
T0089,2023-01-28,S004,P016,5,1226,C387,Card,Smartwatch
T0090,2023-05-15,S005,P006,2,159,C288,Cash,Mouse
T0091,2023-07-20,S001,P016,2,883,C106,Card,Smartwatch
T0092,2023-11-24,S004,P020,1,315,C383,Cash,Smartphone
T0093,2023-09-25,S001,P016,4,1446,C363,Online,Smartwatch
T0094,2023-02-02,S001,P012,4,1225,C149,Cash,Monitor
T0095,2023-02-17,S005,P017,2,1025,C300,Card,Smartphone
T0096,2023-03-03,S001,P005,2,1004,C160,Online,Printer
T0097,2023-08-04,S002,P013,3,1488,C133,Card,Monitor
T0098,2023-10-20,S002,P008,1,956,C344,Online,Printer
T0099,2023-04-09,S003,P005,5,1399,C272,Card,Printer
T0100,2023-06-21,S005,P012,5,721,C307,Cash,Monitor
T0101,2023-12-26,S003,P009,4,225,C383,Card,Monitor
T0102,2023-08-02,S002,P003,1,574,C122,Cash,Monitor
T0103,2023-02-04,S003,P003,4,1388,C147,Cash,Monitor
T0104,2023-08-15,S005,P001,5,1140,C258,Online,Printer
T0105,2023-04-11,S005,P018,2,1001,C358,Cash,Monitor
T0106,2023-05-11,S001,P012,1,1257,C243,Cash,Monitor
T0107,2023-09-14,S004,P009,1,1108,C147,Cash,Monitor
T0108,2023-01-05,S001,P009,3,554,C127,Online,Monitor
T0109,2023-08-06,S005,P018,2,898,C127,Card,Monitor
T0110,2023-09-12,S002,P018,2,1012,C245,Card,Monitor
T0111,2023-12-25,S002,P007,4,1149,C175,Cash,Tablet
T0112,2023-10-10,S001,P004,1,521,C287,Cash,Smartwatch
T0113,2023-07-26,S005,P013,4,572,C110,Card,Monitor
T0114,2023-01-15,S002,P017,2,929,C221,Cash,Smartphone
T0115,2023-12-12,S005,P002,3,1356,C389,Card,Headphones
T0116,2023-02-11,S002,P014,1,323,C265,Online,Tablet
T0117,2023-06-28,S005,P003,2,103,C364,Cash,Monitor
T0118,2023-03-04,S003,P005,3,1128,C261,Cash,Printer
T0119,2023-12-18,S005,P014,5,937,C397,Card,Tablet
T0120,2023-08-19,S005,P003,2,794,C218,Card,Monitor
T0121,2023-08-29,S001,P007,5,326,C363,Online,Tablet
T0122,2023-02-21,S003,P018,4,932,C184,Cash,Monitor
T0123,2023-04-06,S004,P013,5,1491,C246,Card,Monitor
T0124,2023-08-10,S001,P010,2,681,C271,Online,Smartwatch
T0125,2023-08-19,S004,P013,5,1298,C114,Card,Monitor
T0126,2023-08-25,S002,P016,1,619,C249,Card,Smartwatch
T0127,2023-05-23,S004,P009,2,1328,C351,Online,Monitor
T0128,2023-06-20,S005,P002,3,225,C157,Online,Headphones
T0129,2023-01-29,S004,P005,5,615,C233,Online,Printer
T0130,2023-02-05,S001,P017,1,1219,C270,Online,Smartphone
T0131,2023-01-13,S001,P004,4,820,C202,Online,Smartwatch
T0132,2023-06-09,S004,P017,4,1458,C206,Online,Smartphone
T0133,2023-11-23,S001,P009,5,311,C271,Cash,Monitor
T0134,2023-07-06,S001,P020,4,580,C228,Online,Smartphone
T0135,2023-08-31,S004,P002,3,1444,C350,Cash,Headphones
T0136,2023-03-27,S003,P018,2,940,C132,Card,Monitor
T0137,2023-10-11,S003,P011,1,1270,C316,Card,Headphones
T0138,2023-03-07,S002,P013,5,997,C362,Online,Monitor
T0139,2023-06-19,S001,P008,4,634,C344,Card,Printer
T0140,2023-02-14,S004,P001,2,864,C385,Online,Printer
T0141,2023-03-03,S001,P017,3,1357,C390,Online,Smartphone
T0142,2023-05-14,S005,P012,4,351,C363,Cash,Monitor
T0143,2023-10-11,S001,P004,4,1205,C185,Card,Smartwatch
T0144,2023-01-28,S001,P013,1,1193,C145,Online,Monitor
T0145,2023-04-18,S003,P009,3,1209,C300,Card,Monitor
T0146,2023-02-13,S004,P007,3,677,C301,Cash,Tablet
T0147,2023-12-06,S001,P005,5,622,C268,Card,Printer
T0148,2023-10-13,S003,P005,1,578,C340,Cash,Printer
T0149,2023-11-27,S002,P017,5,83,C386,Cash,Smartphone
T0150,2023-05-08,S003,P009,1,581,C290,Cash,Monitor
T0151,2023-12-14,S003,P006,3,1281,C171,Online,Mouse
T0152,2023-08-19,S003,P019,1,1372,C245,Online,Camera
T0153,2023-07-09,S001,P016,1,1167,C309,Card,Smartwatch
T0154,2023-08-13,S001,P002,1,1487,C308,Online,Headphones
T0155,2023-10-10,S002,P010,2,420,C322,Online,Smartwatch
T0156,2023-05-01,S005,P016,2,458,C387,Card,Smartwatch
T0157,2023-04-26,S005,P005,3,1456,C263,Cash,Printer
T0158,2023-08-21,S005,P015,1,666,C172,Cash,Camera
T0159,2023-09-16,S002,P013,3,120,C340,Card,Monitor
T0160,2023-12-25,S005,P013,2,133,C227,Online,Monitor
T0161,2023-07-17,S005,P013,1,258,C185,Card,Monitor
T0162,2023-05-17,S003,P015,5,308,C115,Card,Camera
T0163,2023-11-14,S001,P014,2,1312,C348,Online,Tablet
T0164,2023-06-14,S001,P008,2,1375,C383,Card,Printer
T0165,2023-08-13,S003,P011,2,1305,C102,Online,Headphones
T0166,2023-11-03,S003,P018,1,981,C174,Online,Monitor
T0167,2023-08-22,S003,P004,4,331,C164,Card,Smartwatch
T0168,2023-06-21,S001,P010,5,443,C361,Cash,Smartwatch
T0169,2023-06-01,S005,P001,5,467,C339,Online,Printer
T0170,2023-11-11,S003,P005,3,1279,C379,Cash,Printer
T0171,2023-06-09,S002,P013,1,1337,C301,Online,Monitor
T0172,2023-04-06,S003,P001,2,1384,C393,Cash,Printer
T0173,2023-08-21,S004,P008,4,908,C386,Card,Printer
T0174,2023-06-29,S003,P003,1,675,C321,Online,Monitor
T0175,2023-04-23,S001,P003,1,1152,C262,Card,Monitor
T0176,2023-11-14,S003,P007,4,1415,C283,Card,Tablet
T0177,2023-02-21,S004,P004,2,611,C365,Card,Smartwatch
T0178,2023-09-25,S002,P003,1,881,C232,Online,Monitor
T0179,2023-10-22,S005,P015,5,1168,C220,Card,Camera
T0180,2023-04-23,S003,P008,5,990,C319,Card,Printer
T0181,2023-04-11,S004,P003,4,1424,C260,Online,Monitor
T0182,2023-04-23,S004,P007,2,111,C400,Card,Tablet
T0183,2023-03-22,S002,P018,4,1215,C209,Online,Monitor
T0184,2023-07-06,S001,P011,1,783,C338,Card,Headphones
T0185,2023-04-23,S003,P011,5,1184,C393,Cash,Headphones
T0186,2023-01-02,S004,P017,3,831,C167,Card,Smartphone
T0187,2023-05-10,S002,P006,4,1230,C287,Cash,Mouse
T0188,2023-08-08,S005,P008,3,588,C136,Online,Printer
T0189,2023-02-23,S004,P001,3,646,C149,Cash,Printer
T0190,2023-12-09,S002,P010,5,58,C356,Online,Smartwatch
T0191,2023-08-12,S001,P019,4,325,C207,Card,Camera
T0192,2023-08-13,S001,P003,3,276,C108,Cash,Monitor
T0193,2023-05-06,S004,P004,1,235,C336,Card,Smartwatch
T0194,2023-05-10,S004,P011,2,640,C278,Cash,Headphones
T0195,2023-02-22,S003,P015,2,1289,C342,Online,Camera
T0196,2023-06-21,S002,P001,5,482,C141,Online,Printer
T0197,2023-08-06,S004,P009,4,618,C345,Online,Monitor
T0198,2023-06-09,S003,P011,4,705,C213,Online,Headphones
T0199,2023-07-17,S003,P019,2,405,C356,Card,Camera
T0200,2023-09-04,S004,P013,1,892,C266,Card,Monitor
T0201,2023-11-20,S001,P016,2,441,C178,Card,Smartwatch
T0202,2023-07-22,S002,P004,2,628,C307,Card,Smartwatch
T0203,2023-07-03,S002,P001,4,1348,C296,Card,Printer
T0204,2023-05-03,S001,P020,3,469,C164,Online,Smartphone
T0205,2023-09-12,S004,P013,1,213,C240,Card,Monitor
T0206,2023-10-21,S002,P001,4,828,C142,Card,Printer
T0207,2023-10-07,S004,P005,2,687,C309,Card,Printer
T0208,2023-11-21,S004,P005,3,1256,C173,Online,Printer
T0209,2023-04-08,S003,P014,1,1383,C253,Online,Tablet
T0210,2023-07-17,S001,P014,5,66,C235,Online,Tablet
T0211,2023-08-28,S004,P008,1,495,C364,Online,Printer
T0212,2023-05-24,S005,P004,1,219,C316,Card,Smartwatch
T0213,2023-04-07,S001,P007,2,1353,C309,Card,Tablet
T0214,2023-07-20,S002,P020,2,389,C304,Cash,Smartphone
T0215,2023-05-04,S003,P019,5,775,C210,Card,Camera
T0216,2023-07-06,S002,P015,5,1084,C131,Online,Camera
T0217,2023-11-22,S002,P004,5,182,C112,Online,Smartwatch
T0218,2023-12-15,S001,P019,4,950,C227,Card,Camera
T0219,2023-09-16,S002,P009,4,689,C294,Cash,Monitor
T0220,2023-05-28,S004,P013,2,1221,C240,Online,Monitor
T0221,2023-09-09,S002,P014,2,872,C127,Cash,Tablet
T0222,2023-12-12,S003,P014,5,1003,C146,Online,Tablet
T0223,2023-05-27,S003,P010,4,128,C235,Online,Smartwatch
T0224,2023-05-28,S005,P016,3,395,C158,Card,Smartwatch
T0225,2023-12-18,S003,P005,4,658,C113,Online,Printer
T0226,2023-07-18,S002,P006,2,1322,C200,Cash,Mouse
T0227,2023-11-04,S003,P002,4,688,C149,Cash,Headphones
T0228,2023-05-08,S001,P013,2,1097,C391,Card,Monitor
T0229,2023-02-08,S003,P013,5,1274,C194,Online,Monitor
T0230,2023-12-04,S004,P019,5,180,C195,Cash,Camera
T0231,2023-12-26,S001,P018,5,405,C245,Card,Monitor
T0232,2023-05-09,S005,P019,3,993,C172,Cash,Camera
T0233,2023-09-24,S004,P001,3,199,C110,Card,Printer
T0234,2023-05-31,S002,P008,2,1377,C262,Cash,Printer
T0235,2023-10-25,S002,P016,1,99,C314,Online,Smartwatch
T0236,2023-04-09,S002,P002,3,513,C104,Cash,Headphones
T0237,2023-09-20,S004,P008,2,1313,C324,Cash,Printer
T0238,2023-09-09,S004,P006,4,504,C129,Card,Mouse
T0239,2023-05-24,S004,P016,5,1356,C303,Card,Smartwatch
T0240,2023-12-12,S001,P011,5,384,C177,Card,Headphones
T0241,2023-04-22,S001,P017,5,1425,C159,Cash,Smartphone
T0242,2023-03-01,S002,P019,2,717,C296,Card,Camera
T0243,2023-01-02,S003,P011,5,376,C207,Online,Headphones
T0244,2023-10-31,S002,P008,3,1065,C109,Card,Printer
T0245,2023-09-11,S005,P004,4,385,C120,Card,Smartwatch
T0246,2023-05-20,S001,P011,5,715,C249,Online,Headphones
T0247,2023-02-06,S004,P008,2,1044,C117,Card,Printer
T0248,2023-06-09,S001,P009,4,130,C112,Card,Monitor
T0249,2023-01-09,S004,P002,5,136,C182,Cash,Headphones
T0250,2023-08-21,S005,P016,1,307,C167,Cash,Smartwatch
T0251,2023-04-09,S005,P006,5,1040,C233,Card,Mouse
T0252,2023-05-27,S001,P019,3,234,C153,Online,Camera
T0253,2023-10-31,S004,P008,4,747,C306,Card,Printer
T0254,2023-07-27,S005,P014,3,172,C333,Card,Tablet
T0255,2023-05-11,S002,P016,1,1169,C154,Card,Smartwatch
T0256,2023-06-01,S002,P012,1,654,C168,Cash,Monitor
T0257,2023-02-23,S004,P005,3,564,C391,Online,Printer
T0258,2023-04-30,S001,P019,4,953,C269,Online,Camera
T0259,2023-06-10,S005,P018,1,1444,C261,Online,Monitor
T0260,2023-04-26,S001,P009,1,354,C115,Cash,Monitor
T0261,2023-03-16,S002,P002,5,1430,C291,Cash,Headphones
T0262,2023-04-23,S005,P020,2,1221,C115,Card,Smartphone
T0263,2023-04-14,S001,P012,1,1358,C387,Cash,Monitor
T0264,2023-12-06,S003,P002,4,706,C110,Card,Headphones
T0265,2023-09-11,S004,P010,4,311,C157,Cash,Smartwatch
T0266,2023-08-15,S004,P001,5,540,C299,Card,Printer
T0267,2023-04-22,S003,P004,4,787,C261,Cash,Smartwatch
T0268,2023-04-09,S002,P012,5,1104,C363,Online,Monitor
T0269,2023-06-02,S005,P009,1,751,C353,Card,Monitor
T0270,2023-12-15,S004,P004,1,936,C219,Cash,Smartwatch
T0271,2023-12-04,S003,P009,1,1341,C180,Cash,Monitor
T0272,2023-07-13,S003,P006,1,61,C224,Card,Mouse
T0273,2023-11-06,S002,P001,2,1264,C172,Cash,Printer
T0274,2023-06-12,S002,P010,2,1473,C268,Online,Smartwatch
T0275,2023-07-27,S001,P014,1,140,C384,Card,Tablet
T0276,2023-06-18,S004,P018,4,649,C136,Card,Monitor
T0277,2023-06-10,S001,P006,5,350,C275,Card,Mouse
T0278,2023-03-09,S003,P018,3,1184,C299,Card,Monitor
T0279,2023-10-16,S005,P020,5,129,C216,Card,Smartphone
T0280,2023-10-04,S005,P016,3,885,C320,Online,Smartwatch
T0281,2023-10-31,S002,P015,3,701,C166,Card,Camera
T0282,2023-05-15,S005,P016,1,482,C365,Online,Smartwatch
T0283,2023-07-14,S005,P008,3,466,C234,Online,Printer
T0284,2023-05-08,S005,P013,1,1287,C219,Online,Monitor
T0285,2023-02-02,S003,P011,2,67,C222,Card,Headphones
T0286,2023-06-25,S005,P007,4,1127,C187,Online,Tablet
T0287,2023-01-22,S005,P017,3,795,C389,Card,Smartphone
T0288,2023-08-26,S005,P018,4,289,C237,Online,Monitor
T0289,2023-06-07,S001,P019,1,895,C153,Card,Camera
T0290,2023-02-07,S003,P013,3,467,C305,Cash,Monitor
T0291,2023-08-18,S002,P015,5,905,C151,Cash,Camera
T0292,2023-12-31,S001,P001,2,648,C140,Online,Printer
T0293,2023-02-20,S004,P016,2,1196,C350,Cash,Smartwatch
T0294,2023-09-21,S003,P005,3,469,C318,Online,Printer
T0295,2023-10-10,S003,P003,2,265,C279,Online,Monitor
T0296,2023-01-27,S004,P010,5,1493,C139,Online,Smartwatch
T0297,2023-08-14,S004,P019,4,758,C283,Cash,Camera
T0298,2023-10-04,S004,P005,5,600,C324,Online,Printer
T0299,2023-10-13,S002,P007,2,1015,C264,Cash,Tablet
T0300,2023-04-07,S005,P014,4,1301,C334,Cash,Tablet
T0301,2023-10-11,S003,P003,5,1310,C293,Card,Monitor
T0302,2023-11-13,S005,P013,1,1403,C185,Cash,Monitor
T0303,2023-10-31,S005,P013,1,882,C343,Card,Monitor
T0304,2023-05-27,S004,P010,4,729,C273,Online,Smartwatch
T0305,2023-01-04,S002,P002,4,536,C137,Online,Headphones
T0306,2023-02-04,S001,P006,4,672,C187,Card,Mouse
T0307,2023-07-11,S002,P008,1,1488,C229,Online,Printer
T0308,2023-02-18,S005,P004,5,268,C294,Card,Smartwatch
T0309,2023-01-17,S002,P012,4,770,C143,Card,Monitor
T0310,2023-06-21,S004,P015,1,430,C259,Online,Camera
T0311,2023-08-08,S001,P008,4,136,C205,Card,Printer
T0312,2023-06-07,S004,P007,4,864,C329,Card,Tablet
T0313,2023-02-15,S001,P014,4,460,C317,Card,Tablet
T0314,2023-01-06,S005,P019,1,740,C364,Online,Camera
T0315,2023-04-09,S001,P014,5,1062,C149,Online,Tablet
T0316,2023-08-21,S001,P013,1,574,C223,Online,Monitor
T0317,2023-02-06,S001,P001,1,496,C125,Online,Printer
T0318,2023-10-07,S002,P019,4,349,C231,Online,Camera
T0319,2023-12-15,S002,P001,3,457,C324,Cash,Printer
T0320,2023-10-29,S005,P004,3,424,C199,Cash,Smartwatch
T0321,2023-06-30,S001,P010,3,282,C390,Card,Smartwatch
T0322,2023-04-05,S003,P003,1,687,C297,Cash,Monitor
T0323,2023-04-09,S005,P020,4,699,C209,Online,Smartphone
T0324,2023-07-07,S001,P009,3,1010,C320,Online,Monitor
T0325,2023-04-26,S001,P003,2,1122,C364,Online,Monitor
T0326,2023-07-10,S002,P006,2,235,C308,Card,Mouse
T0327,2023-09-10,S005,P006,2,1278,C182,Card,Mouse
T0328,2023-06-10,S001,P012,5,127,C125,Card,Monitor
T0329,2023-09-13,S001,P001,4,1459,C286,Card,Printer
T0330,2023-11-19,S005,P016,1,243,C108,Card,Smartwatch
T0331,2023-05-08,S003,P005,1,1176,C224,Card,Printer
T0332,2023-01-18,S005,P009,4,1449,C249,Cash,Monitor
T0333,2023-10-08,S005,P010,5,336,C198,Online,Smartwatch
T0334,2023-08-11,S003,P013,4,299,C316,Cash,Monitor
T0335,2023-02-23,S005,P015,5,1274,C201,Card,Camera
T0336,2023-02-27,S001,P012,3,585,C318,Online,Monitor
T0337,2023-11-19,S005,P005,3,349,C359,Online,Printer
T0338,2023-12-26,S003,P005,5,1156,C111,Online,Printer
T0339,2023-06-23,S004,P018,4,858,C159,Cash,Monitor
T0340,2023-10-07,S005,P012,3,507,C350,Online,Monitor
T0341,2023-04-24,S002,P003,4,740,C240,Card,Monitor
T0342,2023-10-15,S001,P007,3,1371,C138,Card,Tablet
T0343,2023-12-08,S001,P017,4,1437,C222,Cash,Smartphone
T0344,2023-05-31,S002,P019,4,767,C165,Cash,Camera
T0345,2023-05-07,S002,P018,2,89,C246,Card,Monitor
T0346,2023-06-04,S005,P001,5,1413,C225,Cash,Printer
T0347,2023-09-30,S002,P005,1,157,C291,Online,Printer
T0348,2023-04-14,S004,P002,5,1389,C363,Cash,Headphones
T0349,2023-10-26,S003,P001,4,1187,C396,Online,Printer
T0350,2023-09-03,S002,P007,4,1240,C282,Online,Tablet
T0351,2023-06-25,S002,P011,5,310,C259,Online,Headphones
T0352,2023-02-08,S004,P011,4,1297,C387,Online,Headphones
T0353,2023-06-19,S001,P018,3,1335,C262,Online,Monitor
T0354,2023-09-04,S001,P017,4,1324,C363,Card,Smartphone
T0355,2023-01-26,S005,P002,5,575,C317,Card,Headphones
T0356,2023-12-21,S004,P007,5,759,C281,Card,Tablet
T0357,2023-11-02,S003,P007,5,175,C191,Online,Tablet
T0358,2023-01-13,S003,P010,2,1279,C117,Cash,Smartwatch
T0359,2023-11-12,S004,P003,2,1213,C225,Cash,Monitor
T0360,2023-11-09,S003,P012,2,1135,C360,Online,Monitor
T0361,2023-02-05,S001,P003,2,1356,C314,Cash,Monitor
T0362,2023-06-22,S003,P011,2,103,C339,Online,Headphones
T0363,2023-01-20,S003,P012,2,395,C280,Cash,Monitor
T0364,2023-11-17,S004,P004,2,185,C272,Online,Smartwatch
T0365,2023-09-21,S004,P016,5,379,C243,Cash,Smartwatch
T0366,2023-05-22,S003,P020,1,1217,C344,Cash,Smartphone
T0367,2023-05-23,S002,P018,2,1355,C332,Card,Monitor
T0368,2023-04-02,S004,P004,5,185,C272,Cash,Smartwatch
T0369,2023-12-20,S005,P006,1,862,C377,Cash,Mouse
T0370,2023-11-18,S005,P015,2,901,C177,Online,Camera
T0371,2023-10-15,S001,P001,1,1474,C149,Cash,Printer
T0372,2023-08-03,S003,P003,1,920,C348,Cash,Monitor
T0373,2023-12-08,S002,P005,3,941,C383,Cash,Printer
T0374,2023-02-20,S001,P017,4,684,C387,Cash,Smartphone
T0375,2023-06-02,S003,P014,3,718,C132,Cash,Tablet
T0376,2023-07-05,S004,P009,1,1343,C258,Card,Monitor
T0377,2023-03-04,S005,P003,5,1090,C118,Cash,Monitor
T0378,2023-07-09,S002,P013,2,318,C163,Online,Monitor
T0379,2023-05-05,S005,P003,4,910,C228,Online,Monitor
T0380,2023-05-30,S004,P011,2,531,C116,Cash,Headphones
T0381,2023-11-10,S003,P002,5,1292,C263,Cash,Headphones
T0382,2023-02-27,S004,P015,4,1392,C351,Cash,Camera
T0383,2023-12-08,S004,P013,3,1311,C237,Card,Monitor
T0384,2023-11-01,S005,P019,1,334,C395,Online,Camera
T0385,2023-06-29,S002,P016,5,1110,C279,Card,Smartwatch
T0386,2023-06-19,S004,P018,1,152,C329,Card,Monitor
T0387,2023-11-22,S005,P007,1,841,C280,Cash,Tablet
T0388,2023-09-28,S002,P013,2,288,C172,Cash,Monitor
T0389,2023-02-23,S003,P004,5,790,C183,Online,Smartwatch
T0390,2023-04-11,S003,P009,1,694,C236,Cash,Monitor
T0391,2023-09-21,S001,P010,3,1198,C318,Online,Smartwatch
T0392,2023-02-22,S005,P009,4,931,C209,Card,Monitor
T0393,2023-03-01,S002,P007,5,656,C219,Online,Tablet
T0394,2023-04-18,S004,P015,2,237,C118,Online,Camera
T0395,2023-01-05,S003,P008,5,937,C254,Online,Printer
T0396,2023-04-13,S002,P019,2,1329,C111,Card,Camera
T0397,2023-07-15,S005,P011,4,1036,C238,Card,Headphones
T0398,2023-09-19,S001,P005,3,973,C162,Cash,Printer
T0399,2023-12-31,S003,P002,1,843,C171,Cash,Headphones
T0400,2023-12-16,S002,P010,5,579,C161,Online,Smartwatch
T0401,2023-02-16,S002,P016,2,725,C232,Online,Smartwatch
T0402,2023-12-21,S002,P013,4,441,C161,Card,Monitor
T0403,2023-11-07,S005,P008,1,1326,C369,Card,Printer
T0404,2023-11-04,S005,P009,4,721,C112,Card,Monitor
T0405,2023-05-24,S005,P011,3,910,C135,Online,Headphones
T0406,2023-09-26,S004,P011,1,1249,C151,Online,Headphones
T0407,2023-05-04,S002,P016,1,515,C143,Card,Smartwatch
T0408,2023-04-16,S003,P010,1,888,C328,Online,Smartwatch
T0409,2023-06-07,S005,P012,2,1037,C211,Card,Monitor
T0410,2023-05-27,S005,P006,1,1362,C115,Cash,Mouse
T0411,2023-05-25,S002,P012,4,1123,C277,Card,Monitor
T0412,2023-04-30,S005,P010,2,53,C262,Online,Smartwatch
T0413,2023-11-15,S004,P018,1,901,C139,Online,Monitor
T0414,2023-10-02,S004,P018,4,1296,C126,Online,Monitor
T0415,2023-04-02,S005,P004,4,1335,C212,Online,Smartwatch
T0416,2023-02-27,S002,P009,5,584,C151,Card,Monitor
T0417,2023-12-12,S002,P007,4,952,C198,Card,Tablet
T0418,2023-08-17,S002,P018,3,1449,C270,Cash,Monitor
T0419,2023-04-27,S001,P008,1,1134,C156,Card,Printer
T0420,2023-11-14,S005,P011,1,1429,C321,Cash,Headphones
T0421,2023-10-06,S002,P007,1,695,C246,Card,Tablet
